year,F1,F3,M4
,label F1,label F3,label M4
1987,58,120,3
1988,40,118,5
1989,52,123,5
1990,56,128,3
1991,46,123,4
1992,42,110,2
1993,54,133,5
1994,41,116,3
1995,60,122,3
1996,35,120,8
1997,45,107,6
1998,63,127,6
1999,48,128,4
2000,53,117,5
2001,32,118,3
2002,63,129,5
2003,58,122,3
2004,47,123,5
2005,37,111,3
2006,37,111,5
2007,39,118,7
2008,63,114,4
2009,58,123,6
2010,55,130,3
2011,47,129,2
2012,47,123,6
2013,38,130,6
2014,43,129,3
2015,55,122,5
2016,40,127,3
2016
2017,24,116,6
2018,44,109,5
2019,48,120,5
2020,33,119,4
2021,26,116,4
2022,28,117,5
2023,34,117,8
2024,40,121,7
2025,52,126,4
2026,42,116,6
2027,40,114,7
2028,35,120,4
2029,50,117,6
2030,42,120,6
2031,59,124,8
2032,34,118,4
2033,33,127,6
2034,23,131,6
2035,56,116,6
2036,48,127,5
2037,46,122,8
2038,38,110,5
2039,48,111,5
2040,51,122,6
2041,37,116,9
2042,42,119,5
2043,22,130,5
2044,36,115,7
2045,34,121,6
2046,46,115,6
