year,winter-soft-wheat,winter-barley,triticale,maize-for-grain,other-cereal,winter-rapeseed,sunflower,soybean,spring-field-peas,broad-bean,vineyards,maize-silage,temporary-grasslands,permanent-grasslands
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,62,53,53,98,42,32,28,25,,,47,137,70,56
2001,54,51,50,83,42,23,25,25,32,30,30,118,60,49
2002,63,54,52,85,37,29,27,26,40,32,38,120,60,50
2003,48,45,42,50,33,27,25,15,28,25,24,75,45,40
2004,71,61,59,94,45,34,30,27,30,23,44,135,71,62
2005,61,55,53,90,41,27,29,24,33,27,37,130,66,54
2006,60,53,59,68,40,28,24,23,32,30,32,91,55,48
2007,52,46,44,91,42,31,25,24,25,30,32,145,66,57
2008,60,52,52,85,45,32,24,25,20,30,33,125,64,53
2009,67,55,54,92,45,33,27,23,30,30,30,140,53,46
2010,64,62,58,85,45,34,22,23,30,25,30,135,64,57
2011,62,53,55,105,38,34,28,26,28,22,36,140,59,52
2012,60,52,47,94,38,32,27,27,40,41,18,127,75,60
2013,59,54,50,75,36,35,21,21,42,35,22,108,64,56
2014,67,65,50,99,45,40,25,28,33,26,30,139,78,67
2015,67,69,54,63,45,36,20,21,28,26,23,80,57,50
2016,39,47,35,76,39,30,18,21,10,8,51,110,62,53
2017,65,61,55,93,49,40,31,27,37,22,25,130,58,52
