year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,87,196,211,90
1988,200,115,175,155
1989,100,159,197,254
1990,122,151,100,154
1991,68,136,144,135
1992,73,178,97,206
1993,28,176,204,114
1994,113,338,199,163
1995,357,232,261,170
1996,114,189,269,288
1997,140,274,349,220
1998,70,167,267,222
1999,153,298,315,245
2000,103,233,312,281
2001,432,279,294,127
2002,145,275,212,337
2003,91,134,211,190
2004,216,148,369,219
2005,143,222,164,175
2006,269,357,402,208
2007,252,277,487,177
2008,181,217,325,252
2009,163,153,174,289
2010,154,149,183,230
2011,89,126,257,238
2012,120,264,317,376
2013,257,443,284,417
2014,261,224,358,289
2015,316,306,302,161
2016,457,634,229,242
