year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,9,-88,-107,18
1988,107,-181,-136,87
1989,5,-160,-127,171
1990,18,-145,-240,75
1991,-16,-145,-192,67
1992,-15,-121,-225,140
1993,-59,-121,-98,45
1994,12,55,-122,88
1995,255,-51,-51,99
1996,30,-119,-27,222
1997,46,-32,52,144
1998,-30,-126,-34,155
1999,69,25,8,178
2000,16,-70,25,210
2001,346,-8,3,53
2002,52,-24,-67,267
2003,-10,-204,-152,127
2004,126,-151,62,154
2005,63,-82,-142,107
2006,195,55,82,133
2007,157,-33,203,111
2008,92,-51,34,189
2009,84,-160,-149,216
2010,71,-136,-130,162
2011,2,-209,-51,170
2012,15,-29,-7,307
2013,192,192,-22,343
2014,162,-78,100,223
2015,237,-1,-26,96
2016,373,386,-73,185
