year,F1,F3,M4
,label F1,label F3,label M4
1987,78,142,1
1988,70,132,0
1989,81,140,1
1990,79,134,0
1991,71,143,1
1992,75,127,1
1993,57,135,1
1994,76,143,2
1995,75,130,2
1996,78,132,1
1997,73,129,1
1998,74,146,0
1999,71,143,2
2000,86,141,1
2001,67,129,1
2002,68,135,2
2003,49,129,2
2004,64,132,0
2005,75,140,0
2006,75,143,0
2007,67,134,1
2008,33,138,1
2009,49,145,2
2010,70,133,2
2011,73,146,0
2012,84,146,0
2013,75,145,0
2014,57,142,1
2015,67,136,1
2016,71,132,0
2016
2017,45,126,2
2018,37,123,1
2019,44,133,1
2020,68,134,2
2021,62,134,2
2022,43,128,1
2023,46,133,3
2024,45,139,2
2025,53,130,1
2026,47,149,4
2027,58,122,2
2028,54,123,3
2029,65,141,3
2030,64,131,2
2031,74,132,3
2032,78,137,3
2033,49,119,1
2034,73,131,2
2035,64,133,1
2036,42,119,2
2037,61,134,1
2038,56,130,1
2039,47,125,1
2040,55,132,3
2041,48,135,1
2042,39,152,1
2043,66,131,1
2044,48,131,2
2045,79,140,0
2046,51,137,1
