year,annual-hydric-deficit
1987,-222
1988,-202
1989,-577
1990,-283
1991,78
1992,-37
1993,-310
1994,-191
1995,-423
1996,-259
1997,-206
1998,-466
1999,-374
2000,-366
2001,-365
2002,-353
2003,-564
2004,-204
2005,-442
2006,-238
2007,-281
2008,-71
2009,-405
2010,-105
2011,-396
2012,-424
2013,-293
2014,-300
2015,-612
2016,-257
