year,winter-soft-wheat,winter-barley,triticale,rye,maize-for-grain,seed-maize,grain-sorghum,winter-rapeseed,sunflower,sugar-beet,vineyards,maize-silage,temporary-grasslands,permanent-grasslands
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,72,62,67,43,98,40,65,30,30,750,41,90,66,48
2001,66,56,62,44,93,38,80,31,25,767,38,89,65,47
2002,67,60,59,48,87,32,70,31,29,745,39,100,66,47
2003,42,40,38,38,60,30,50,20,20,572,30,70,30,22
2004,69,61,60,45,96,42,70,33,30,820,48,120,61,41
2005,60,55,50,45,83,37,50,28,25,800,39,113,48,32
2006,61,57,52,45,91,36,65,29,29,889,36,117,60,38
2007,56,56,47,44,103,36,70,25,31,874,34,117,66,45
2008,56,55,47,44,90,33,63,31,27,757,32,103,66,45
2009,68,60,55,45,95,37,67,36,31,904,39,118,61,42
2010,66,60,51,44,92,32,65,28,28,824,31,113,63,42
2011,58,53,50,40,92,33,65,25,30,907,31,113,43,32
2012,66,62,53,44,85,37,60,29,28,840,33,109,58,40
2013,71,64,54,46,93,35,60,29,28,829,26,113,61,42
2014,66,63,50,48,110,35,60,31,28,978,27,135,67,46
2015,61,59,49,42,68,24,40,28,21,810,38,80,49,34
2016,60,57,52,42,74,32,55,37,27,765,37,96,56,39
2017,61,53,48,38,91,37,65,34,29,791,23,105,56,42
