year,F1,F3,M4
,label F1,label F3,label M4
1987,71,143,2
1988,53,135,1
1989,73,135,2
1990,56,137,1
1991,37,123,2
1992,63,139,2
1993,36,108,1
1994,39,121,2
1995,62,126,2
1996,25,119,2
1997,53,129,1
1998,18,142,2
1999,56,129,2
2000,59,112,0
2001,39,126,3
2002,46,112,0
2003,72,132,4
2004,22,131,2
2005,59,134,1
2006,53,131,3
2007,69,139,1
2008,33,123,3
2009,48,125,1
2010,39,126,2
2011,53,120,0
2012,56,134,2
2013,51,121,2
2014,65,122,1
2015,50,113,1
2016,63,130,2
2016
2017,29,124,3
2018,37,122,1
2019,54,120,3
2020,52,118,2
2021,41,123,2
2022,59,121,5
2023,28,122,1
2024,51,129,3
2025,47,114,1
2026,44,106,3
2027,27,120,1
2028,59,124,2
2029,37,139,2
2030,49,124,4
2031,44,120,3
2032,25,123,4
2033,38,102,3
2034,60,120,3
2035,44,122,4
2036,51,129,0
2037,37,116,5
2038,57,129,2
2039,34,129,1
2040,34,132,3
2041,49,121,5
2042,32,110,2
2043,41,126,1
2044,24,127,2
2045,47,123,3
2046,45,124,1

min,,80,0
max,,170,8
steps,,10,9
decimal



