year,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
1987,540,644,-332,-375,39,10.0,3777,69,18.9,81
1988,650,666,-235,-226,50,10.1,3709,53,17.7,82
1989,585,696,-336,-369,57,10.1,3851,47,17.7,78
1990,645,646,-213,-210,11,10.1,3757,39,17.7,66
1991,483,740,-589,-466,-68,11.5,4234,54,16.7,37
1992,620,665,-268,-250,-7,10.2,3772,54,18.5,90
1993,606,730,-441,-360,19,10.7,3945,53,18.8,58
1994,537,737,-484,-405,-10,10.8,4010,34,16.8,51
1995,585,627,-267,-248,29,10.6,3944,48,18.3,57
1996,781,716,-240,-208,-16,11.5,4187,30,17.0,30
1997,646,730,-379,-274,-60,10.3,3854,36,16.8,64
1998,534,610,-317,-245,-36,10.5,3862,33,18.1,55
1999,668,718,-342,-279,-11,10.3,3867,31,16.9,70
2000,683,727,-351,-262,-20,10.2,3831,40,17.7,65
2001,562,630,-312,-283,26,10.6,3977,53,18.4,64
2002,637,686,-314,-223,-26,11.9,4372,63,19.5,37
2003,651,678,-248,-266,10,10.5,3877,66,19.9,83
2004,494,636,-399,-317,-37,10.8,3958,30,16.4,43
2005,716,634,-135,-121,-7,9.6,3646,35,16.4,74
2006,478,654,-411,-377,-15,10.3,3809,44,17.8,77
2007,682,665,-202,-153,-11,10.5,3871,56,18.6,62
2008,529,665,-391,-355,3,11.7,4281,52,16.9,39
2009,695,682,-218,-146,-8,11.3,4169,63,18.8,52
2010,599,680,-320,-313,-1,11.1,4121,45,16.7,57
2011,479,671,-426,-342,-35,11.1,4091,50,18.2,42
2012,709,667,-187,-201,-2,10.7,3925,52,18.6,62
2013,715,607,-145,-102,-20,10.1,3757,26,17.0,70
2014,536,644,-348,-268,-3,10.7,3997,44,17.8,61
2015,573,661,-344,-267,-19,11.6,4264,60,18.4,35
2016,671,677,-220,-263,28,9.9,3708,49,18.1,97
2016
2017,664,715,-285,-310,24,11.9,4372,75,19.3,43
2018,477,734,-490,-494,35,11.9,4356,74,18.8,58
2019,594,684,-330,-340,-17,11.7,4300,59,18.0,36
2020,612,664,-287,-308,56,11.6,4254,60,18.1,36
2021,585,754,-470,-439,13,11.7,4332,67,19.0,49
2022,426,727,-537,-516,5,12.1,4495,84,20.2,51
2023,511,827,-646,-532,-19,12.7,4641,81,20.5,25
2024,664,801,-434,-387,-2,12.1,4467,92,20.6,46
2025,667,718,-292,-312,39,12.4,4538,82,20.0,47
2026,576,808,-573,-501,3,13.1,4785,98,20.6,30
2027,516,749,-519,-452,-17,11.9,4382,62,19.1,35
2028,578,670,-312,-335,32,11.5,4248,72,18.6,54
2029,511,790,-610,-528,-48,12.2,4469,82,21.0,39
2030,417,810,-691,-625,7,11.9,4364,69,19.4,46
2031,494,689,-437,-402,18,12.0,4405,83,20.6,40
2032,563,729,-402,-460,75,12.7,4633,85,20.0,28
2033,567,718,-411,-371,-5,12.6,4635,75,19.0,28
2034,494,705,-450,-464,14,11.5,4261,76,20.1,49
2035,491,678,-450,-487,63,12.1,4458,77,19.9,47
2036,651,716,-324,-192,-44,12.5,4583,92,21.7,55
2037,413,746,-579,-479,-39,12.8,4669,86,20.3,32
2038,632,671,-272,-330,38,11.1,4098,62,18.6,63
2039,628,695,-315,-317,16,11.9,4381,73,20.3,44
2040,566,701,-383,-372,-8,12.0,4394,70,18.0,36
2041,447,697,-480,-476,24,11.9,4354,74,20.0,40
2042,464,661,-456,-341,-43,12.4,4528,63,19.4,23
2043,566,673,-327,-357,38,11.0,4041,74,19.5,53
2044,534,705,-411,-440,76,12.0,4413,82,19.4,43
2045,586,738,-381,-402,29,12.2,4478,89,21.7,56
2046,744,685,-188,-178,5,11.7,4280,62,19.0,52

min,300,500,,,,9,3000,,16
max,800,900,,,,15,5000,,24
steps,11,9,,,,7,11,,5
decimal

min
max
