year,annual-hydric-deficit
1987,88
1988,161
1989,-177
1990,-269
1991,-165
1992,-227
1993,-165
1994,-162
1995,-108
1996,-344
1997,-171
1998,-83
1999,32
2000,131
2001,127
2002,-83
2003,-319
2004,-180
2005,-243
2006,-163
2007,0
2008,-182
2009,-249
2010,-171
2011,-214
2012,-64
2013,-101
2014,-37
2015,-303
2016,-27
