year,A1,A2,A3
,label A1,label A2,label A3
1987,11,2557,115
1988,7,2704,58
1989,15,2446,109
1990,13,2592,98
1991,14,2485,130
1992,31,2630,185
1993,12,2600,118
1994,2,2527,48
1995,15,2599,124
1996,16,2652,135
1997,6,2293,68
1998,21,2581,160
1999,11,2406,114
2000,11,2572,92
2001,23,2501,147
2002,23,2617,157
2003,2,2653,37
2004,16,2461,122
2005,11,2688,90
2006,19,2822,156
2007,25,2648,153
2008,8,2552,82
2009,22,2357,151
2010,17,2473,140
2011,15,2683,105
2012,17,2613,141
2013,19,2255,136
2014,13,2344,134
2015,9,2578,76
2016,9,2380,100
2016
2017,5,2270,69
2018,15,2312,125
2019,22,2306,161
2020,33,2598,247
2021,31,2086,254
2022,36,2289,220
2023,18,2006,169
2024,18,2308,163
2025,43,2226,270
2026,19,2168,155
2027,28,2117,237
2028,55,1974,293
2029,22,2283,207
2030,23,2155,197
2031,25,2372,182
2032,19,2575,181
2033,24,2067,172
2034,15,2085,144
2035,31,2324,232
2036,27,2017,210
2037,39,2298,303
2038,21,2157,139
2039,25,2234,172
2040,23,2293,141
2041,43,2233,275
2042,18,2163,151
2043,21,2391,195
2044,30,2233,213
2045,26,2113,172
2046,45,2296,263

min,,1600
max,,3200
steps,,9
decimal
