year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,137,222,222,190
1988,299,145,211,186
1989,188,199,120,157
1990,161,165,84,166
1991,161,116,117,143
1992,77,189,130,197
1993,93,232,126,166
1994,143,167,167,166
1995,298,177,183,52
1996,121,78,135,147
1997,114,216,141,202
1998,108,201,198,224
1999,145,207,213,273
2000,128,222,253,312
2001,254,128,340,178
2002,192,145,126,257
2003,104,141,153,181
2004,142,108,188,192
2005,147,207,111,101
2006,184,125,166,172
2007,179,185,249,140
2008,164,174,135,137
2009,128,158,90,178
2010,106,113,207,203
2011,119,88,209,194
2012,56,253,135,275
2013,113,209,127,190
2014,129,193,202,179
2015,113,90,186,128
2016,202,281,79,106
