year,F1,F3,M4
,label F1,label F3,label M4-LCF
1987,81,139,0
1988,43,135,1
1989,85,134,0
1990,87,143,0
1991,78,132,0
1992,67,128,0
1993,60,128,0
1994,9,145,0
1995,80,135,0
1996,72,132,0
1997,74,126,1
1998,75,142,0
1999,68,129,0
2000,40,119,0
2001,90,146,0
2002,73,140,0
2003,72,141,0
2004,75,137,1
2005,53,127,0
2006,56,142,0
2007,69,143,0
2008,59,121,0
2009,88,129,0
2010,89,143,1
2011,60,129,0
2012,9,157,0
2013,95,143,1
2014,74,134,0
2015,76,127,0
2016,61,122,0
2016
2017,83,140,0
2018,62,136,1
2019,72,133,1
2020,58,122,0
2021,88,137,1
2022,34,138,0
2023,63,137,0
2024,84,144,0
2025,66,129,0
2026,50,133,0
2027,39,133,0
2028,44,129,1
2029,65,136,1
2030,54,119,1
2031,58,137,1
2032,76,137,2
2033,44,127,1
2034,55,144,1
2035,44,124,1
2036,65,132,0
2037,59,134,0
2038,58,125,0
2039,35,129,0
2040,69,132,0
2041,96,136,0
2042,62,134,0
2043,67,133,0
2044,82,139,1
2045,55,129,0
2046,77,123,0

min,,90,0
max,,190,6
steps,,11,7
decimal
