year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,-1.0,11.8,17.5,5.6
1988,3.4,13.2,16.8,5.8
1989,4.4,12.6,17.4,5.2
1990,3.9,12.1,15.9,4.4
1991,0.9,10.3,17.4,3.2
1992,4.0,14.2,19.2,6.2
1993,3.1,14.7,16.9,5.2
1994,5.1,13.4,19.1,8.0
1995,4.5,13.2,18.2,6.2
1996,1.2,13.3,16.2,5.4
1997,4.6,13.3,18.7,6.5
1998,4.7,14.5,17.3,4.9
1999,3.7,14.0,19.0,5.5
2000,4.5,15.3,17.5,7.9
2001,4.6,13.5,17.9,6.2
2002,4.8,14.5,17.5,7.1
2003,2.8,16.1,20.2,5.8
2004,3.6,14.0,18.8,6.4
2005,3.0,15.1,18.1,6.7
2006,1.5,14.5,19.9,9.3
2007,6.5,16.5,17.3,5.9
2008,5.7,15.0,17.6,6.3
2009,2.3,15.6,19.1,7.1
2010,2.3,13.8,18.0,5.0
2011,4.5,15.9,18.7,7.6
2012,3.7,15.0,19.0,7.1
2013,1.8,13.4,18.9,7.5
2014,6.7,15.3,18.2,8.7
2015,4.2,14.8,20.1,8.9
2016,5.0,14.1,19.8,6.1
