year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,50,36,-67,96
1988,197,-97,-17,128
1989,-36,-55,-121,50
1990,41,-98,-92,132
1991,7,-131,-50,74
1992,40,-84,-75,113
1993,7,-110,-77,153
1994,15,-36,-99,8
1995,36,-95,-37,62
1996,-17,-34,-49,84
1997,34,-128,-186,57
1998,-15,-176,-159,171
1999,50,-104,-163,85
2000,93,-227,-77,6
2001,80,-161,-208,106
2002,70,-120,-70,147
2003,-4,-240,-323,46
2004,4,-208,-141,99
2005,36,-139,-77,22
2006,15,-126,-144,0
2007,16,-150,-136,28
2008,-18,-103,-108,60
2009,46,-115,-53,115
2010,2,-145,-57,124
2011,-19,-170,-136,38
2012,-20,-137,-195,146
2013,9,-35,43,95
2014,-45,-208,50,40
2015,3,-193,-245,45
2016,35,30,-191,29
