year,A1,A2,A3
,label A1,label A2,label A3
1987,27,3025,194
1988,17,2735,122
1989,10,3195,71
1990,10,3066,95
1991,13,3151,113
1992,19,3013,129
1993,8,3058,93
1994,3,3493,55
1995,4,3149,59
1996,27,2899,201
1997,14,2940,160
1998,10,3086,70
1999,27,2752,204
2000,11,2680,111
2001,12,3228,94
2002,17,2838,125
2003,9,3000,66
2004,17,2993,127
2005,18,2634,110
2006,37,3023,259
2007,16,3211,115
2008,15,2760,135
2009,28,2886,193
2010,33,3314,211
2011,22,2801,178
2012,24,3297,142
2013,28,3281,196
2014,16,3103,130
2015,35,2991,246
2016,12,2939,107
2016
2017,47,2932,282
2018,34,2680,205
2019,24,2775,174
2020,25,2540,182
2021,35,3039,263
2022,28,2735,191
2023,49,2627,345
2024,38,2780,299
2025,33,2575,222
2026,46,2925,345
2027,36,2749,238
2028,17,2697,135
2029,31,2857,261
2030,24,2640,189
2031,33,2755,224
2032,25,3021,187
2033,49,2424,340
2034,24,2581,195
2035,34,2623,243
2036,20,2589,143
2037,39,2758,274
2038,39,2511,254
2039,38,2569,261
2040,35,2645,284
2041,45,2906,284
2042,39,2649,241
2043,69,2755,422
2044,23,2604,180
2045,44,2468,314
2046,31,2582,245

min,,2000
max,,4000
steps,,9
decimal
