year,annual-estival-days
1987,32
1988,30
1989,43
1990,37
1991,41
1992,52
1993,38
1994,56
1995,42
1996,28
1997,51
1998,39
1999,49
2000,47
2001,48
2002,46
2003,95
2004,45
2005,49
2006,60
2007,50
2008,48
2009,48
2010,43
2011,60
2012,55
2013,43
2014,42
2015,58
2016,56

min,16
max,130
steps,9
decimal
