year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1,label C2-LCF,label C3,label C12,label M1-LCF,label M2,label M8,label Co2,label Co3
1987,16,42,-35.55,4,14,-70.19,68,53,216
1988,10,30,-48,1,2,6,58,58,182
1989,1,27,1,2,1,70,64,27,305
1990,14,22,-80,1,0,-59,66,47,176
1991,6,29,-38,0,10,-98,69,18,191
1992,6,36,20,0,4,75,61,50,231
1993,9,23,32,3,10,-16,60,41,165
1994,22,41,26,3,10,-42,62,42,253
1995,16,50,-26,3,20,-59,39,38,214
1996,4,33,-24,1,7,-37,57,31,241
1997,14,18,-96,6,13,-249,70,40,110
1998,17,18,2,1,6,28,62,40,236
1999,15,25,-26,3,6,-173,47,30,87
2000,8,43,-39,1,1,-38,66,46,241
2001,9,29,0,2,5,24,71,35,151
2002,10,21,-21,3,11,-41,53,44,175
2003,12,35,-70,0,5,-88,60,48,132
2004,9,43,-19,1,8,-78,61,43,196
2005,2,32,-47,2,6,-29,64,31,202
2006,5,25,79,5,10,-80,80,46,167
2007,3,35,-26,2,0,-96,70,45,247
2008,18,25,-15,2,3,-39,52,43,275
2009,13,43,-15,2,5,14,49,37,165
2010,17,26,-66,1,5,0,61,30,243
2011,3,32,10,4,5,-58,63,37,165
2012,13,22,-17,2,11,-18,53,33,224
2013,16,31,-31,0,3,-12,62,56,208
2014,14,14,17,1,18,8,73,50,216
2015,0,40,18,0,8,6,73,45,167
2016,1,27,-3,0,5,25,67,35,239
2016
2017,9,18,74,1,5,53,76,27,213
2018,19,16,-63,3,16,-128,64,22,201
2019,26,14,-59,1,19,-178,50,18,139
2020,9,31,-29,0,2,-17,54,21,154
2021,6,25,19,3,16,-150,72,3,151
2022,15,16,38,2,15,-112,56,21,122
2023,20,11,27,0,14,-36,60,25,203
2024,11,12,2,2,10,-105,74,38,85
2025,13,22,-51,4,10,-128,46,29,97
2026,15,2,-59,4,20,-226,47,26,152
2027,17,20,-55,1,9,-180,61,27,165
2028,24,20,-32,0,7,-91,60,35,100
2029,17,34,-80,3,12,-192,42,39,88
2030,19,16,-16,1,25,-40,48,25,234
2031,14,45,-69,3,18,-133,43,36,172
2032,20,22,35,1,10,-33,50,8,154
2033,23,36,-11,1,13,-88,47,35,160
2034,33,21,-60,3,12,-145,51,53,205
2035,16,0,-56,3,13,-155,59,23,111
2036,20,36,-41,3,13,-154,56,22,136
2037,20,34,-16,2,10,-155,46,17,92
2038,22,45,-38,1,5,-65,49,10,160
2039,29,13,-86,3,13,-125,48,24,186
2040,33,9,-32,3,7,-98,57,40,128
2041,19,10,-17,4,7,-135,39,29,158
2042,21,10,-27,0,4,-57,50,12,200
2043,20,11,-49,2,9,-112,45,32,131
2044,29,30,-43,1,13,-119,48,24,209
2045,23,17,3,4,14,-155,59,23,100
2046,16,18,-1,2,4,-42,45,40,177
