year,annual-frozen-days
1987,103
1988,79
1989,76
1990,57
1991,96
1992,88
1993,78
1994,49
1995,104
1996,125
1997,111
1998,89
1999,96
2000,67
2001,93
2002,56
2003,108
2004,118
2005,107
2006,101
2007,67
2008,100
2009,101
2010,109
2011,85
2012,87
2013,108
2014,55
2015,84
2016,83
