year,F1,F3,M4
,label F1,label F3,label M4-LCF
1987,106,157,1
1988,88,143,0
1989,79,138,0
1990,71,144,0
1991,73,137,0
1992,105,149,0
1993,70,140,0
1994,94,150,0
1995,100,138,0
1996,83,138,0
1997,64,137,0
1998,68,144,0
1999,82,138,0
2000,104,153,0
2001,62,145,0
2002,88,143,0
2003,89,138,0
2004,105,149,0
2005,106,148,0
2006,66,142,1
2007,89,151,0
2008,74,130,0
2009,97,144,0
2010,80,141,0
2011,78,142,0
2012,71,129,0
2013,74,131,0
2014,67,144,0
2015,87,143,0
2016,86,136,0
2016
2017,95,154,0
2018,66,135,0
2019,76,137,0
2020,58,134,0
2021,76,148,0
2022,61,132,0
2023,59,133,0
2024,64,132,0
2025,47,137,0
2026,56,129,0
2027,66,138,0
2028,88,146,0
2029,81,139,0
2030,65,139,0
2031,9,148,0
2032,63,134,0
2033,90,136,0
2034,66,147,0
2035,53,134,0
2036,72,153,0
2037,84,143,0
2038,99,146,0
2039,67,141,0
2040,60,134,0
2041,62,127,0
2042,59,138,0
2043,59,128,0
2044,80,138,0
2045,60,140,0
2046,78,143,0

min,,90,0
max,,190,6
steps,,11,7
decimal
