year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9-LCF
1987,1168,10,-75,18
1988,1141,7,70,1
1989,1047,7,177,8
1990,1121,9,-63,2
1991,1317,9,-112,4
1992,1220,10,94,9
1993,1399,9,-52,0
1994,1290,9,-42,3
1995,1698,9,-28,1
1996,1332,10,-51,0
1997,1120,8,-323,6
1998,1310,10,84,10
1999,1431,10,-218,1
2000,1111,12,-80,12
2001,1106,9,-26,11
2002,1390,9,-83,1
2003,1311,10,-79,5
2004,1391,10,-51,2
2005,1269,10,-20,6
2006,1228,11,-61,6
2007,1054,10,-57,5
2008,1234,8,51,1
2009,1363,8,-28,1
2010,1193,8,70,7
2011,1316,10,-100,6
2012,1530,10,-58,2
2013,1342,9,-46,2
2014,1247,8,59,8
2015,1197,10,-10,8
2016,1375,11,-8,1
2016
2017,1200,10,95,8
2018,1530,11,-126,6
2019,1633,11,-118,7
2020,1517,11,-46,3
2021,1181,10,-71,4
2022,1445,9,-88,7
2023,1575,11,-52,2
2024,1353,10,-186,6
2025,1494,13,-118,14
2026,1612,10,-279,4
2027,1391,10,-160,8
2028,1462,10,-123,4
2029,1555,10,-257,6
2030,1624,10,-41,4
2031,1637,12,-134,6
2032,1492,9,-21,3
2033,1552,11,-134,1
2034,1538,9,-94,6
2035,1557,12,-135,4
2036,1340,9,-124,14
2037,1472,9,-144,7
2038,1415,9,-49,5
2039,1517,9,-96,11
2040,1488,10,-114,9
2041,1591,9,-85,3
2042,1307,9,-34,6
2043,1594,10,-93,1
2044,1705,11,-93,2
2045,1509,9,-185,2
2046,1461,11,-37,4

min,,4
max,,17
steps,,8
decimal
