year,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
1987,874,572,134,-75,107,7.6,2982,36,16.8,140
1988,1032,551,310,70,117,7.5,3024,22,14.6,120
1989,1173,555,443,177,132,8.4,3178,10,14.4,92
1990,845,571,107,-63,71,8.0,3088,20,15.3,100
1991,929,659,27,-112,109,9.2,3528,27,17.0,71
1992,1064,557,341,94,125,7.7,3078,29,15.5,127
1993,1028,696,101,-52,54,9.0,3411,28,17.0,93
1994,1042,668,162,-42,114,7.5,3064,28,16.4,118
1995,1037,633,245,-28,173,8.7,3527,54,18.0,119
1996,1005,673,76,-51,73,8.8,3492,22,16.2,88
1997,795,666,-102,-323,169,8.2,3216,26,16.1,94
1998,1026,574,269,84,84,8.8,3389,31,16.8,97
1999,927,716,-27,-218,61,9.0,3428,31,16.1,80
2000,906,659,44,-80,61,7.5,2981,22,15.8,125
2001,846,540,132,-26,117,8.5,3228,15,15.6,106
2002,880,594,116,-83,114,8.5,3312,28,16.4,108
2003,921,570,173,-79,112,8.0,3285,26,17.0,126
2004,839,583,78,-51,36,8.0,3247,27,17.3,123
2005,913,572,184,-20,120,8.4,3240,19,16.2,116
2006,907,565,160,-61,118,8.3,3341,25,17.4,102
2007,839,556,104,-57,90,7.6,3057,11,15.5,116
2008,1057,578,299,51,161,8.4,3235,20,14.4,94
2009,963,582,217,-28,102,8.1,3220,29,15.5,115
2010,1129,581,368,70,167,8.7,3383,24,15.6,92
2011,848,595,85,-100,88,8.7,3351,21,16.8,101
2012,1026,615,221,-58,158,9.5,3650,39,17.3,89
2013,887,591,122,-46,126,8.2,3230,26,16.1,116
2014,1003,583,248,59,84,8.2,3190,39,17.3,101
2015,1064,557,340,-10,189,7.6,3115,19,16.4,116
2016,910,582,158,-8,85,8.9,3403,15,16.8,97
2016
2017,1056,567,314,95,129,8.8,3288,25,16.9,98
2018,897,616,77,-126,156,10.5,3841,49,18.5,70
2019,878,656,36,-118,102,10.4,3824,57,18.4,70
2020,939,595,171,-46,144,9.6,3620,30,17.5,81
2021,997,647,106,-71,173,9.7,3612,33,17.7,69
2022,1025,627,193,-88,190,10.1,3801,41,17.3,66
2023,1093,707,129,-52,113,10.3,3796,50,18.5,73
2024,835,668,-70,-186,54,9.2,3454,36,17.6,80
2025,865,589,84,-118,145,10.1,3744,48,17.8,81
2026,810,729,-165,-279,49,10.6,3929,49,17.5,59
2027,958,665,39,-160,144,9.8,3637,39,17.6,76
2028,854,589,93,-123,127,9.4,3532,44,16.6,98
2029,881,728,-103,-257,99,9.2,3548,43,17.3,102
2030,1074,725,94,-41,109,10.4,3846,52,18.5,77
2031,942,641,138,-134,207,9.2,3508,46,18.7,108
2032,1025,604,237,-21,97,9.9,3746,43,17.0,61
2033,819,614,37,-134,109,8.9,3420,41,17.0,103
2034,1007,627,187,-94,171,9.1,3492,54,17.5,107
2035,791,619,-22,-135,102,10.8,3975,53,18.8,55
2036,843,593,76,-124,118,9.0,3401,47,17.1,97
2037,907,618,105,-144,164,9.6,3671,38,17.0,83
2038,901,592,133,-49,153,9.3,3522,38,16.4,90
2039,972,621,166,-96,152,10.0,3714,49,17.3,74
2040,821,604,17,-114,79,9.9,3673,45,17.2,86
2041,912,617,94,-85,55,10.7,3936,38,16.8,68
2042,923,584,144,-34,83,10.1,3703,36,15.5,60
2043,851,615,39,-93,76,10.1,3827,40,17.5,74
2044,995,644,167,-93,161,10.1,3816,65,18.1,84
2045,818,611,19,-185,124,9.8,3619,57,17.5,73
2046,967,602,173,-37,174,9.4,3505,40,17.3,98
