year,annual-precipitations
1987,811
1988,910
1989,650
1990,658
1991,564
1992,835
1993,868
1994,882
1995,961
1996,868
1997,699
1998,1158
1999,1460
2000,1274
2001,1433
2002,1811
2003,1028
2004,896
2005,885
2006,773
2007,842
2008,654
2009,785
2010,892
2011,650
2012,808
2013,800
2014,809
2015,1028
2016,1340

min,300
max,2000
steps,10
decimal
