year,A1,A2,A3
,label A1,label A2,label A3
1987,18,3572,129
1988,4,3462,48
1989,4,3087,34
1990,5,3340,43
1991,13,2975,92
1992,15,3451,87
1993,13,3137,117
1994,11,3659,102
1995,32,3366,196
1996,8,3097,80
1997,18,3281,119
1998,19,3226,137
1999,8,3104,97
2000,10,3566,82
2001,7,3138,49
2002,12,3281,93
2003,12,3427,100
2004,10,3482,80
2005,9,3245,73
2006,13,3354,92
2007,3,3492,34
2008,10,3091,59
2009,9,3340,73
2010,6,3099,56
2011,7,3187,67
2012,17,2990,131
2013,7,3345,66
2014,20,3398,164
2015,8,3495,59
2016,5,3106,52
2016
2017,14,3155,102
2018,28,2721,181
2019,32,2749,222
2020,11,2894,110
2021,18,2785,154
2022,19,2742,123
2023,21,2740,179
2024,8,3014,99
2025,22,2812,135
2026,25,2607,211
2027,20,2905,162
2028,32,3033,187
2029,18,3149,149
2030,31,2836,237
2031,28,3228,174
2032,25,2850,167
2033,26,3166,148
2034,36,3246,231
2035,28,2641,184
2036,17,3155,165
2037,15,2967,147
2038,18,3054,117
2039,30,2873,200
2040,33,2930,209
2041,18,2581,147
2042,16,2666,117
2043,26,2847,168
2044,38,2985,286
2045,33,2858,182
2046,14,3041,132
