year,annual-hydric-deficit
1987,189
1988,226
1989,-43
1990,-83
1991,-143
1992,127
1993,156
1994,167
1995,242
1996,182
1997,-44
1998,463
1999,832
2000,599
2001,751
2002,1113
2003,215
2004,155
2005,160
2006,28
2007,71
2008,-61
2009,63
2010,213
2011,-111
2012,70
2013,107
2014,51
2015,272
2016,648
