year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,-1.4,11.1,17.3,5.1
1988,2.6,12.9,16.5,5.1
1989,3.8,12.1,16.7,4.7
1990,4.9,12.5,17.0,5.4
1991,2.1,10.6,18.3,3.9
1992,1.7,13.0,18.2,4.3
1993,1.9,13.9,15.7,3.8
1994,3.6,12.1,18.0,6.7
1995,1.8,11.4,16.3,4.5
1996,-0.9,12.0,14.3,3.2
1997,2.2,11.2,16.5,4.3
1998,2.9,12.7,16.0,3.4
1999,1.6,12.2,17.2,3.8
2000,2.4,13.6,15.9,6.1
2001,2.9,11.7,15.9,4.5
2002,3.5,12.7,15.6,5.7
2003,0.8,14.4,18.2,3.8
2004,1.1,12.1,17.0,4.7
2005,0.3,13.1,16.4,3.9
2006,-0.7,13.0,17.9,6.9
2007,4.5,14.9,15.8,3.6
2008,2.9,12.9,15.7,4.0
2009,-0.3,13.6,17.3,4.6
2010,0.0,11.8,16.2,3.3
2011,2.1,13.9,16.8,4.9
2012,0.9,13.0,16.8,4.7
2013,-0.3,11.8,17.0,5.0
2014,4.0,13.3,16.3,6.7
2015,1.4,12.9,17.6,6.6
2016,2.8,12.3,17.7,4.2
