year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,1.1,13.2,19.4,7.6
1988,5.2,14.6,18.3,7.2
1989,5.6,14.0,18.6,6.7
1990,6.8,14.2,18.4,7.0
1991,4.1,12.4,20.3,5.9
1992,4.4,14.9,20.2,7.0
1993,4.4,15.6,17.7,6.1
1994,5.9,14.3,19.6,8.2
1995,5.1,13.7,18.4,6.6
1996,1.8,14.1,16.7,6.3
1997,4.1,14.1,18.6,6.4
1998,5.2,15.1,18.0,5.7
1999,4.5,14.6,19.3,6.2
2000,5.5,15.4,18.0,8.7
2001,5.5,14.0,18.2,6.7
2002,5.5,14.2,17.5,7.8
2003,3.4,16.6,20.3,6.1
2004,3.9,14.2,18.6,6.5
2005,3.7,15.5,18.5,6.4
2006,1.5,14.8,19.8,9.0
2007,6.4,16.6,17.6,5.6
2008,5.2,14.8,17.5,6.3
2009,2.4,15.6,19.1,7.6
2010,2.9,13.8,18.0,5.5
2011,5.1,15.8,18.4,8.2
2012,3.8,14.7,18.5,7.5
2013,2.2,13.5,19.3,7.7
2014,6.5,15.3,18.2,9.1
2015,4.9,15.0,20.1,9.2
2016,5.3,14.2,19.8,5.9
