year,winter-soft-wheat,winter-barley,triticale,maize-for-grain,winter-rapeseed,sunflower,soybean,spring-field-peas,broad-bean,potatoes,sugar-beet,maize-silage,temporary-grasslands,permanent-grasslands
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,75,67,72,109,35,30,,34,,326,833,155,110,75
2001,71,62,61,90,28,28,24,34,28,326,694,132,73,60
2002,75,65,68,103,31,30,,34,28,371,835,140,87,62
2003,60,59,54,84,28,25,,31,26,272,693,115,53,38
2004,83,70,70,100,37,30,30,33,30,373,801,135,87,61
2005,74,70,60,102,35,30,30,36,30,330,859,150,83,59
2006,73,64,52,85,34,25,27,30,27,264,760,120,74,53
2007,66,52,52,105,32,33,34,30,20,362,843,155,94,66
2008,73,64,60,108,32,33,32,30,20,369,872,158,87,62
2009,77,70,70,110,40,33,30,32,27,408,1013,185,76,52
2010,72,69,64,100,35,30,33,40,35,435,890,150,99,70
2011,67,58,50,118,36,36,31,30,25,417,1075,168,64,43
2012,68,58,59,119,33,33,34,47,20,466,912,149,81,62
2013,72,60,50,92,31,27,29,35,22,429,822,124,80,57
2014,74,63,51,112,43,30,30,36,12,385,881,143,79,56
2015,83,68,58,93,38,27,33,35,13,382,753,92,59,41
2016,49,52,40,101,34,26,29,32,12,358,773,114,59,41
2017,78,73,56,116,40,35,36,36,31,400,923,164,67,45
