year,F1,F3,M4
,label F1,label F3,label M4
1987,63,130,2
1988,53,118,1
1989,62,133,2
1990,75,130,1
1991,62,130,1
1992,59,122,1
1993,45,131,2
1994,54,131,0
1995,56,124,0
1996,55,123,1
1997,57,134,1
1998,70,135,2
1999,81,136,0
2000,46,131,3
2001,73,130,0
2002,49,132,1
2003,61,124,0
2004,53,134,2
2005,61,123,0
2006,61,117,1
2007,51,122,2
2008,55,128,0
2009,50,119,2
2010,70,126,1
2011,70,138,2
2012,56,118,0
2013,49,130,2
2014,63,127,2
2015,67,122,0
2016,51,134,0
2016
2017,50,118,2
2018,38,137,1
2019,87,143,1
2020,43,128,1
2021,39,137,3
2022,53,137,0
2023,73,133,3
2024,65,137,2
2025,59,130,0
2026,55,123,1
2027,68,134,2
2028,69,122,1
2029,68,129,1
2030,63,129,0
2031,48,124,1
2032,66,126,3
2033,66,131,3
2034,36,125,2
2035,75,126,2
2036,77,129,1
2037,52,119,3
2038,29,126,4
2039,43,125,0
2040,53,128,3
2041,51,106,2
2042,57,125,2
2043,45,126,2
2044,53,129,1
2045,33,133,3
2046,53,115,1
