year,A1,A2,A3
,label A1,label A2,label A3
1987,21,2776,157
1988,16,2581,139
1989,15,2808,124
1990,16,2858,140
1991,24,2821,181
1992,37,2891,208
1993,47,2804,332
1994,13,2711,127
1995,30,2703,216
1996,32,2570,260
1997,17,2720,117
1998,34,2862,235
1999,16,2828,155
2000,4,2797,68
2001,14,2937,113
2002,22,2758,156
2003,11,2585,108
2004,23,2674,175
2005,45,2856,307
2006,11,2678,81
2007,51,2830,313
2008,23,2731,152
2009,20,2913,126
2010,20,2773,136
2011,25,2851,150
2012,38,2685,231
2013,20,2790,130
2014,13,2818,103
2015,4,2684,49
2016,4,2806,71
2016
2017,44,2234,277
2018,65,2536,430
2019,25,2906,169
2020,39,2371,241
2021,39,2512,280
2022,32,2762,220
2023,22,2700,183
2024,42,2774,314
2025,57,2593,340
2026,25,2387,180
2027,35,2546,304
2028,27,2550,163
2029,22,2669,230
2030,33,2584,255
2031,44,2443,291
2032,29,2490,218
2033,31,2588,203
2034,62,2513,406
2035,30,2468,232
2036,28,2508,213
2037,43,2314,279
2038,41,2488,246
2039,49,2448,316
2040,50,2517,295
2041,50,2342,366
2042,33,2526,221
2043,47,2545,316
2044,39,2611,264
2045,26,2338,189
2046,29,2281,214

min,,1600
max,,3200
steps,,9
decimal
