year,annual-estival-days
1987,0
1988,0
1989,13
1990,2
1991,5
1992,10
1993,4
1994,26
1995,26
1996,5
1997,20
1998,1
1999,15
2000,2
2001,7
2002,15
2003,11
2004,8
2005,12
2006,30
2007,12
2008,12
2009,21
2010,16
2011,4
2012,11
2013,14
2014,24
2015,6
2016,14
