year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,43,177,206,128
1988,148,68,177,117
1989,72,107,180,134
1990,113,99,176,127
1991,70,208,176,103
1992,84,41,95,174
1993,86,59,288,132
1994,162,119,196,171
1995,139,173,142,66
1996,18,130,118,106
1997,46,152,78,156
1998,105,160,161,164
1999,112,146,176,108
2000,127,119,177,148
2001,99,136,266,123
2002,167,148,142,203
2003,66,158,189,122
2004,97,123,156,174
2005,141,97,129,154
2006,95,138,207,218
2007,178,199,364,124
2008,157,92,185,203
2009,106,140,117,197
2010,58,146,281,180
2011,122,176,328,120
2012,85,133,104,151
2013,113,150,108,199
2014,108,129,191,228
2015,170,140,236,239
2016,115,122,163,158
