year,annual-precipitations
1987,554
1988,509
1989,493
1990,515
1991,557
1992,393
1993,564
1994,648
1995,519
1996,372
1997,432
1998,589
1999,543
2000,570
2001,623
2002,660
2003,536
2004,549
2005,520
2006,659
2007,864
2008,637
2009,559
2010,665
2011,746
2012,474
2013,570
2014,655
2015,785
2016,558
