year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,92,201,415,77
1988,109,137,232,94
1989,54,158,234,47
1990,27,84,77,120
1991,28,58,60,49
1992,52,75,48,68
1993,62,74,189,64
1994,63,75,124,69
1995,85,215,198,53
1996,39,230,195,69
1997,81,102,206,92
1998,57,110,163,115
1999,90,142,108,79
2000,143,104,144,104
2001,93,197,244,96
2002,87,242,381,171
2003,39,99,107,50
2004,101,138,106,72
2005,68,122,238,34
2006,77,176,126,57
2007,77,87,246,115
2008,61,186,149,109
2009,83,212,107,131
2010,86,181,336,108
2011,56,138,226,72
2012,69,116,212,141
2013,100,294,172,77
2014,64,184,239,98
2015,66,120,94,104
2016,90,111,175,129
