year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,30,-79,123,-1
1988,22,-186,-71,19
1989,-32,-148,-59,-21
1990,-77,-218,-243,52
1991,-50,-226,-249,-25
1992,-39,-253,-290,-7
1993,-18,-251,-107,-5
1994,-30,-232,-210,-3
1995,-13,-41,-115,-6
1996,-21,-33,-51,4
1997,-1,-184,-87,23
1998,-42,-205,-126,47
1999,9,-150,-216,7
2000,57,-245,-136,43
2001,28,-83,-48,30
2002,-8,-61,86,109
2003,-47,-258,-252,-18
2004,16,-141,-215,13
2005,-6,-182,-50,-28
2006,19,-126,-219,-11
2007,-21,-261,-60,61
2008,-29,-94,-141,51
2009,22,-77,-209,66
2010,13,-93,44,45
2011,-31,-203,-68,-1
2012,-32,-205,-106,85
2013,33,30,-151,8
2014,-27,-119,-58,33
2015,-28,-175,-279,35
2016,8,-187,-152,71
