year,A1,A2,A3
,label A1,label A2,label A3
1987,1,3016,38
1988,1,2730,21
1989,7,3412,75
1990,25,2900,186
1991,18,2920,139
1992,16,2884,119
1993,10,3077,127
1994,11,3211,105
1995,7,3281,66
1996,13,3216,114
1997,14,3195,138
1998,10,3062,87
1999,16,3212,131
2000,19,3157,176
2001,16,3058,119
2002,15,3102,122
2003,16,3177,131
2004,0,2892,31
2005,10,3399,76
2006,11,3587,80
2007,7,2858,88
2008,10,2929,93
2009,16,2878,129
2010,23,3236,166
2011,20,3225,154
2012,11,3368,91
2013,7,2958,60
2014,32,3027,219
2015,20,3300,138
2016,17,3476,133
2016
2017,38,2601,296
2018,26,3096,187
2019,16,2970,149
2020,21,2754,176
2021,23,3007,177
2022,28,2861,185
2023,18,2944,147
2024,24,3171,229
2025,17,2955,137
2026,14,3000,141
2027,22,2651,195
2028,23,2925,159
2029,22,2596,213
2030,15,3124,136
2031,38,2777,223
2032,19,3011,146
2033,28,2646,180
2034,23,2963,183
2035,21,2546,135
2036,12,2843,103
2037,39,2929,275
2038,28,3046,224
2039,47,2514,350
2040,15,2526,137
2041,26,2991,194
2042,16,2935,131
2043,31,2850,220
2044,38,2699,275
2045,29,2955,214
2046,22,2458,169

min,,2000
max,,4000
steps,,9
decimal
