year,annual-average-temperature
1987,8.1
1988,9.6
1989,10.0
1990,10.0
1991,8.8
1992,10.2
1993,9.0
1994,10.3
1995,9.2
1996,7.4
1997,8.9
1998,10.1
1999,10.3
2000,10.6
2001,9.4
2002,10.2
2003,10.1
2004,9.4
2005,9.3
2006,9.8
2007,10.6
2008,10.0
2009,9.6
2010,8.4
2011,10.0
2012,9.8
2013,9.2
2014,10.8
2015,10.8
2016,10.2
