year,annual-estival-days
1987,30
1988,36
1989,37
1990,38
1991,38
1992,58
1993,43
1994,48
1995,50
1996,29
1997,46
1998,46
1999,52
2000,48
2001,40
2002,52
2003,77
2004,43
2005,50
2006,60
2007,60
2008,48
2009,56
2010,48
2011,55
2012,63
2013,51
2014,44
2015,58
2016,64
