year,F1,F3,M4
,label F1,label F3,label M4
1987,136,184,2
1988,153,195,3
1989,141,185,0
1990,138,186,1
1991,128,181,0
1992,145,58,0
1993,146,187,1
1994,146,182,2
1995,156,202,2
1996,155,193,1
1997,152,191,1
1998,137,179,0
1999,135,176,1
2000,140,178,1
2001,135,188,1
2002,138,179,2
2003,148,182,1
2004,150,188,0
2005,146,191,1
2006,142,180,1
2007,137,180,1
2008,139,178,1
2009,128,179,1
2010,144,189,2
2011,141,186,0
2012,145,187,2
2013,141,185,2
2014,140,181,0
2015,140,184,3
2016,147,188,1
2016
2017,136,186,3
2018,137,179,0
2019,137,179,0
2020,138,179,1
2021,143,181,0
2022,142,184,0
2023,144,183,2
2024,144,188,2
2025,132,171,0
2026,145,184,1
2027,128,165,1
2028,137,180,3
2029,133,172,2
2030,136,178,1
2031,137,171,2
2032,130,167,0
2033,135,177,2
2034,145,179,2
2035,137,178,1
2036,132,170,1
2037,139,180,0
2038,132,183,1
2039,148,188,1
2040,129,177,0
2041,135,176,1
2042,124,166,0
2043,134,173,3
2044,139,183,2
2045,131,166,2
2046,139,183,1
