year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,106,221,293,245
1988,298,74,328,179
1989,204,147,140,229
1990,265,159,289,230
1991,168,203,168,248
1992,193,118,183,240
1993,173,53,256,233
1994,253,113,313,224
1995,253,168,125,116
1996,29,79,147,243
1997,149,223,180,192
1998,229,174,235,347
1999,238,206,268,330
2000,258,185,250,283
2001,109,185,280,216
2002,265,172,202,200
2003,70,255,187,211
2004,195,176,277,261
2005,102,118,133,122
2006,104,144,141,213
2007,150,179,172,99
2008,148,54,222,190
2009,89,55,219,222
2010,45,118,283,220
2011,120,147,321,194
2012,210,237,331,305
2013,105,142,199,365
2014,241,201,253,311
2015,191,224,193,334
2016,147,159,132,176
