year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,49,-25,30,181
1988,245,-242,55,129
1989,152,-116,-127,183
1990,200,-76,58,198
1991,110,-22,-110,193
1992,132,-196,-98,191
1993,107,-239,40,180
1994,202,-128,30,175
1995,202,-58,-161,64
1996,-16,-141,-106,203
1997,101,-3,-93,148
1998,173,-37,39,307
1999,198,-8,22,285
2000,206,-46,65,245
2001,67,-24,69,180
2002,214,-66,-39,159
2003,16,23,-63,165
2004,143,-52,23,210
2005,44,-134,-108,66
2006,61,-106,-145,148
2007,72,-86,-64,48
2008,80,-239,-33,140
2009,37,-234,-46,178
2010,3,-114,36,174
2011,63,-122,108,138
2012,143,-3,99,266
2013,56,-93,-52,324
2014,176,-54,-5,264
2015,132,2,-46,284
2016,89,-97,-96,134
