year,A1,A2,A3
,label A1,label A2,label A3
1987,5,3643,33
1988,1,4147,12
1989,1,3639,17
1990,1,3689,14
1991,0,3860,26
1992,5,3843,37
1993,0,3642,12
1994,11,3846,69
1995,0,3911,12
1996,2,3833,20
1997,1,4105,22
1998,0,3732,6
1999,7,4100,74
2000,5,3742,39
2001,4,3773,35
2002,2,3696,19
2003,3,3745,33
2004,1,3801,8
2005,3,3478,25
2006,0,4115,11
2007,6,4020,38
2008,4,3880,23
2009,7,3858,68
2010,2,4027,31
2011,3,3776,35
2012,0,3993,7
2013,12,3908,75
2014,2,3787,26
2015,0,3807,16
2016,2,3923,22
2016
2017,5,3683,35
2018,1,3547,21
2019,11,3484,84
2020,8,3722,64
2021,6,3437,49
2022,9,3643,76
2023,5,3570,46
2024,0,3572,27
2025,10,3420,75
2026,2,3193,26
2027,15,3498,126
2028,1,3070,28
2029,2,3135,22
2030,3,3410,23
2031,4,3537,32
2032,5,3498,35
2033,16,3603,100
2034,12,3504,78
2035,14,3463,106
2036,1,3405,8
2037,3,3407,47
2038,4,3346,45
2039,12,3721,80
2040,6,3209,43
2041,4,3334,32
2042,15,3835,111
2043,5,3289,27
2044,0,3398,12
2045,3,3434,22
2046,9,3100,56

min,,2000
max,,4000
steps,,9
decimal
