year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,103,226,312,106
1988,229,205,196,200
1989,85,210,346,118
1990,99,245,172,156
1991,99,318,225,128
1992,123,248,226,224
1993,84,188,381,153
1994,132,262,293,147
1995,308,428,302,267
1996,113,327,369,305
1997,175,258,335,252
1998,216,221,348,373
1999,306,529,306,318
2000,303,297,489,184
2001,378,422,364,269
2002,293,389,785,344
2003,218,212,309,288
2004,297,331,298,193
2005,251,284,446,174
2006,251,309,386,160
2007,268,345,497,205
2008,217,256,406,205
2009,204,401,229,261
2010,170,370,501,261
2011,125,329,424,258
2012,210,347,402,300
2013,262,477,294,189
2014,137,270,483,196
2015,314,667,411,306
2016,477,856,590,216
