year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,2.1,13.2,19.8,8.0
1988,5.7,14.7,18.9,7.6
1989,5.7,14.5,19.9,7.5
1990,6.6,14.5,19.5,7.3
1991,4.8,13.2,21.2,6.4
1992,4.2,14.8,20.1,7.5
1993,4.3,15.3,18.4,6.9
1994,6.5,14.0,20.3,9.3
1995,5.6,13.8,19.0,8.3
1996,4.6,14.4,17.0,7.2
1997,5.6,14.4,19.8,7.9
1998,5.7,14.8,19.0,6.0
1999,5.1,15.0,20.3,6.9
2000,5.3,15.8,18.9,9.3
2001,7.5,14.6,18.9,7.1
2002,6.8,15.2,18.2,9.7
2003,4.9,17.9,22.1,7.8
2004,4.8,14.8,19.8,8.0
2005,3.9,16.0,19.5,7.7
2006,3.6,15.8,20.9,10.0
2007,7.2,16.9,18.2,6.2
2008,6.3,15.6,18.4,7.4
2009,3.4,16.3,20.1,8.7
2010,3.5,14.7,19.2,6.9
2011,5.6,16.8,19.2,9.0
2012,3.9,15.6,19.4,8.8
2013,3.2,13.4,19.1,8.0
2014,7.2,15.0,18.1,9.6
2015,4.7,15.5,20.0,9.1
2016,6.3,14.5,20.2,6.4
