year,annual-frozen-days
1987,60
1988,39
1989,60
1990,48
1991,63
1992,45
1993,52
1994,39
1995,59
1996,60
1997,70
1998,74
1999,53
2000,45
2001,46
2002,26
2003,61
2004,63
2005,76
2006,68
2007,41
2008,50
2009,69
2010,80
2011,54
2012,57
2013,65
2014,28
2015,55
2016,52
