year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,27,-22,-18,185
1988,156,-4,-153,110
1989,-20,-70,-212,19
1990,69,11,-241,207
1991,97,-116,-88,112
1992,42,17,-53,250
1993,-59,-49,222,312
1994,106,46,-86,192
1995,251,-47,10,103
1996,57,-95,-40,302
1997,6,-47,-199,160
1998,14,-37,-83,175
1999,206,31,-17,257
2000,72,-109,-16,352
2001,273,37,-98,104
2002,16,-95,-4,413
2003,2,-266,-251,261
2004,144,-196,-30,260
2005,79,52,-194,160
2006,188,-35,-63,216
2007,150,47,77,82
2008,97,23,89,184
2009,167,-159,-188,245
2010,183,-80,-128,210
2011,62,-198,-24,212
2012,37,58,-11,311
2013,152,112,-173,305
2014,249,-72,73,295
2015,170,-69,-117,51
2016,196,126,-191,130
