year,A1,A2,A3
,label A1,label A2,label A3
1987,45,2556,280
1988,14,2660,123
1989,30,2813,185
1990,11,2492,101
1991,16,2768,135
1992,31,2609,209
1993,29,2599,288
1994,25,3020,210
1995,24,3044,152
1996,21,2786,179
1997,17,2493,151
1998,40,2703,242
1999,20,2513,200
2000,21,2898,178
2001,30,2815,222
2002,22,2726,178
2003,25,2790,164
2004,36,2423,315
2005,23,2809,156
2006,40,2735,256
2007,19,2847,173
2008,31,2754,195
2009,14,2757,96
2010,25,2636,181
2011,10,2700,82
2012,8,2709,90
2013,44,2681,257
2014,30,2622,190
2015,36,2381,205
2016,6,2884,88
2016
2017,62,2259,372
2018,32,2538,207
2019,49,2329,354
2020,40,2584,256
2021,29,2362,243
2022,40,2304,304
2023,39,2365,289
2024,38,2443,287
2025,46,2587,294
2026,58,2419,414
2027,46,2282,351
2028,45,2296,288
2029,30,2427,266
2030,57,2394,444
2031,31,2657,217
2032,47,2260,305
2033,44,2854,325
2034,62,2611,463
2035,47,2356,322
2036,44,2477,313
2037,47,2417,261
2038,30,2276,222
2039,37,2244,257
2040,47,2615,276
2041,46,2447,332
2042,58,2527,356
2043,53,2457,326
2044,53,2315,298
2045,45,2573,308
2046,66,2326,410

min,,1800
max,,3400
steps,,9
decimal



