year,A1,A2,A3
,label A1,label A2,label A3
1987,11,3507,101
1988,13,3235,90
1989,5,3491,27
1990,0,3339,11
1991,2,2933,45
1992,4,3637,38
1993,3,3399,55
1994,7,3260,70
1995,10,3502,62
1996,6,3463,62
1997,3,3429,45
1998,7,3622,51
1999,9,3516,94
2000,9,3245,91
2001,7,3790,48
2002,4,3587,32
2003,12,3297,81
2004,11,3704,71
2005,17,3662,92
2006,14,3250,95
2007,4,3433,26
2008,7,3495,69
2009,3,3155,24
2010,9,3518,67
2011,27,3265,166
2012,15,3878,100
2013,10,3565,66
2014,3,3358,45
2015,0,3174,10
2016,8,3215,53
2016
2017,13,3128,81
2018,15,3236,110
2019,9,2849,77
2020,18,2840,135
2021,11,3320,123
2022,13,3089,88
2023,29,2786,218
2024,11,3069,102
2025,17,3269,114
2026,18,3144,162
2027,19,3593,139
2028,22,3137,112
2029,10,3093,91
2030,11,2852,95
2031,12,3101,99
2032,17,3018,111
2033,21,3369,162
2034,2,3154,46
2035,16,2860,120
2036,32,2814,220
2037,16,3077,127
2038,13,2865,95
2039,8,3024,89
2040,13,3048,98
2041,25,3142,157
2042,22,2865,134
2043,23,2928,168
2044,43,2873,308
2045,9,3184,82
2046,31,3043,204

min,,2000
max,,4000
steps,,9
decimal
