year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,143,276,241,170
1988,404,152,177,231
1989,109,212,252,207
1990,110,207,152,189
1991,87,221,145,111
1992,245,301,232,290
1993,175,248,390,295
1994,279,464,340,188
1995,180,368,241,174
1996,63,194,402,210
1997,98,222,207,177
1998,189,218,322,439
1999,272,337,350,279
2000,309,167,368,191
2001,313,247,328,330
2002,274,309,471,416
2003,160,162,193,227
2004,181,191,180,177
2005,142,229,279,126
2006,135,211,239,80
2007,165,240,247,135
2008,137,162,227,137
2009,137,256,171,182
2010,115,246,319,199
2011,84,129,251,153
2012,112,214,218,222
2013,147,253,183,149
2014,90,201,374,142
2015,126,341,127,117
2016,211,372,261,133
