year,annual-precipitations
1987,831
1988,964
1989,779
1990,658
1991,564
1992,1069
1993,1108
1994,1271
1995,963
1996,868
1997,703
1998,1168
1999,1238
2000,1035
2001,1218
2002,1469
2003,742
2004,728
2005,776
2006,666
2007,787
2008,663
2009,746
2010,879
2011,617
2012,766
2013,731
2014,807
2015,711
2016,977

min,300
max,2000
steps,10
decimal
