year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,90,54,-22,119
1988,346,-107,-96,181
1989,36,-48,-7,156
1990,15,-70,-147,118
1991,11,-37,-154,47
1992,165,5,-73,231
1993,92,-52,116,233
1994,191,196,33,117
1995,87,115,-51,119
1996,-1,-81,136,151
1997,13,-55,-85,109
1998,94,-70,49,382
1999,204,91,79,219
2000,238,-121,101,125
2001,242,-19,47,264
2002,178,23,216,353
2003,70,-160,-162,162
2004,98,-100,-127,116
2005,64,-73,-6,66
2006,68,-81,-72,6
2007,70,-94,-31,71
2008,43,-120,-51,77
2009,73,-39,-129,118
2010,35,-12,38,138
2011,0,-191,-42,88
2012,21,-82,-76,165
2013,85,4,-135,83
2014,-11,-99,127,75
2015,50,62,-205,49
2016,130,114,-50,78
