year,F1,F3,M4
,label F1,label F3,label M4
1987,21,99,7
1988,20,104,9
1989,23,100,9
1990,22,99,7
1991,26,100,9
1992,28,94,8
1993,27,100,9
1994,26,97,9
1995,24,100,9
1996,28,104,7
1997,22,95,9
1998,23,102,10
1999,25,106,8
2000,17,101,8
2001,23,107,10
2002,29,101,10
2003,24,101,8
2004,30,107,10
2005,26,106,10
2006,20,103,6
2007,27,98,8
2008,23,106,10
2009,27,104,8
2010,29,103,8
2011,17,99,8
2012,24,102,6
2013,23,90,6
2014,21,96,9
2015,21,102,7
2016,20,100,8
2016
2017,21,102,10
2018,21,102,10
2019,19,93,9
2020,26,106,7
2021,27,99,9
2022,20,92,7
2023,18,101,10
2024,22,106,9
2025,23,97,8
2026,21,91,9
2027,17,101,9
2028,13,97,9
2029,20,91,9
2030,21,88,10
2031,22,100,8
2032,28,110,8
2033,14,102,9
2034,16,104,7
2035,19,101,6
2036,16,94,10
2037,23,93,9
2038,22,108,9
2039,21,98,8
2040,21,98,9
2041,13,96,9
2042,17,93,9
2043,22,96,10
2044,32,100,10
2045,19,99,8
2046,17,100,10

min,,70
max,,140
steps,,11
decimal
