year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,157,-233,-298,487
1988,96,-215,-322,134
1989,-70,-119,-313,302
1990,-43,-173,-374,120
1991,10,-35,-293,227
1992,110,-56,-263,274
1993,-9,-241,-388,331
1994,246,-30,-244,304
1995,136,26,-97,177
1996,236,-264,-116,469
1997,50,-331,-343,221
1998,5,-186,-318,157
1999,-40,-301,-296,38
2000,-52,-255,-384,174
2001,109,-290,-365,53
2002,-51,-251,-135,159
2003,36,-346,-359,127
2004,160,-154,-331,314
2005,181,-283,-348,417
2006,120,-260,-202,15
2007,92,-259,-353,-37
2008,102,-169,-359,215
2009,237,-206,-351,275
2010,49,-144,-343,338
2011,103,-286,-400,77
2012,28,-36,-150,272
2013,79,-120,-209,171
2014,264,-26,-83,109
2015,235,-305,-222,72
2016,55,-192,-317,81
