year,annual-precipitations
1987,1184
1988,752
1989,899
1990,665
1991,901
1992,1130
1993,821
1994,1367
1995,1343
1996,1403
1997,750
1998,747
1999,455
2000,595
2001,595
2002,751
2003,628
2004,1022
2005,1034
2006,747
2007,434
2008,755
2009,1064
2010,936
2011,637
2012,819
2013,589
2014,868
2015,928
2016,738
