year,A1,A2,A3
,label A1,label A2,label A3
1987,98,1426,678
1988,98,1245,702
1989,97,1463,659
1990,122,1367,830
1991,82,1538,627
1992,107,1411,691
1993,108,1454,684
1994,99,1443,678
1995,114,1471,680
1996,99,1690,689
1997,94,1402,673
1998,120,1471,746
1999,87,1655,606
2000,79,1483,588
2001,109,1716,748
2002,98,1573,708
2003,91,1527,650
2004,105,1542,820
2005,107,1563,680
2006,102,1413,763
2007,110,1400,768
2008,105,1506,725
2009,106,1523,645
2010,105,1610,705
2011,116,1349,868
2012,91,1554,669
2013,106,1301,712
2014,104,1322,701
2015,106,1467,702
2016,105,1434,685
2016
2017,100,1307,744
2018,122,1358,951
2019,110,1104,917
2020,119,1429,793
2021,137,1315,1016
2022,102,1387,741
2023,92,1305,748
2024,112,1481,893
2025,125,1322,904
2026,126,1279,950
2027,117,1134,854
2028,123,1193,927
2029,128,1269,878
2030,116,1120,899
2031,142,1399,931
2032,130,1554,843
2033,112,1279,844
2034,107,1496,782
2035,114,1203,852
2036,122,1233,868
2037,120,1202,899
2038,129,1516,976
2039,98,1341,780
2040,99,1314,726
2041,132,1073,909
2042,110,1101,756
2043,126,1286,916
2044,115,1583,878
2045,112,1260,795
2046,113,1387,775

min,,800
max,,2150
steps,,10
decimal

