year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,296,126,137,625
1988,239,161,92,260
1989,78,245,122,454
1990,114,218,74,260
1991,150,307,113,331
1992,231,312,177,411
1993,142,149,74,456
1994,380,329,203,455
1995,296,391,335,321
1996,376,113,306,607
1997,229,74,89,358
1998,160,183,112,292
1999,96,63,119,176
2000,99,127,61,308
2001,250,88,49,208
2002,97,118,241,295
2003,195,66,94,272
2004,295,187,90,449
2005,313,100,69,552
2006,263,114,210,160
2007,216,91,28,99
2008,222,171,31,331
2009,388,169,101,406
2010,191,205,73,467
2011,241,101,41,254
2012,158,186,97,377
2013,181,93,37,278
2014,363,184,100,221
2015,381,97,247,204
2016,202,184,122,229
