year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,115,-78,12,95
1988,111,-179,-65,69
1989,-47,-65,33,-37
1990,-27,-74,-109,149
1991,13,81,135,161
1992,26,-150,-173,704
1993,-29,-147,-146,231
1994,-45,-23,-62,137
1995,96,-47,11,86
1996,45,54,91,126
1997,-17,-89,-11,128
1998,-52,-92,131,158
1999,23,51,-19,116
2000,-28,-220,-102,134
2001,-1,-171,-75,-16
2002,-49,-180,-114,116
2003,-41,-148,-186,87
2004,66,-1,-158,91
2005,-4,-109,136,64
2006,36,-14,-106,50
2007,65,-220,28,64
2008,-34,-97,-34,63
2009,85,-49,-84,91
2010,20,-104,90,97
2011,-33,-70,-60,56
2012,-83,-144,-92,117
2013,230,-140,-137,122
2014,55,-78,216,34
2015,-22,-82,-9,122
2016,122,3,-101,121
