year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,-2.0,13.4,18.5,5.3
1988,2.7,13.5,18.3,4.0
1989,3.6,13.6,18.1,5.1
1990,4.3,13.7,17.1,4.8
1991,1.3,12.5,18.8,3.7
1992,3.2,14.4,19.9,4.6
1993,1.9,15.0,17.8,4.4
1994,4.2,14.3,19.8,5.5
1995,2.3,14.0,18.0,4.3
1996,-1.5,14.8,16.5,5.0
1997,1.9,13.7,17.9,4.8
1998,4.0,15.0,18.6,3.9
1999,2.6,15.1,19.2,4.6
2000,3.1,16.6,18.9,7.8
2001,4.4,14.8,19.0,5.1
2002,4.4,15.9,18.9,6.4
2003,0.9,16.4,20.3,5.5
2004,1.8,14.0,18.6,6.1
2005,1.1,15.1,18.4,5.2
2006,0.1,15.0,19.3,7.3
2007,5.8,16.7,18.6,4.5
2008,4.6,15.8,18.8,6.6
2009,2.2,16.1,19.9,6.1
2010,1.7,15.2,18.9,4.7
2011,1.8,15.3,19.4,4.8
2012,2.4,15.3,19.7,5.9
2013,1.2,14.7,19.3,6.6
2014,5.0,15.0,18.1,7.6
2015,3.4,15.0,20.0,6.8
2016,3.7,15.4,19.6,5.1
