year,F1,F3,M4
,label F1,label F3,label M4-LCF
1987,81,142,3
1988,73,119,1
1989,64,132,0
1990,82,136,0
1991,55,126,0
1992,80,138,0
1993,75,124,0
1994,79,137,0
1995,84,132,1
1996,90,140,1
1997,99,148,0
1998,80,130,1
1999,63,128,0
2000,92,140,0
2001,66,123,1
2002,76,122,0
2003,68,133,2
2004,85,135,0
2005,77,133,0
2006,97,138,0
2007,60,122,0
2008,90,135,0
2009,65,136,0
2010,87,135,1
2011,53,141,0
2012,82,138,0
2013,88,145,0
2014,97,141,1
2015,88,139,0
2016,68,118,0
2016
2017,65,131,1
2018,60,131,1
2019,63,127,0
2020,87,129,1
2021,52,133,1
2022,74,133,0
2023,76,137,1
2024,53,112,0
2025,77,135,1
2026,72,133,2
2027,42,107,0
2028,51,115,0
2029,68,121,1
2030,73,135,1
2031,79,126,0
2032,63,124,0
2033,82,128,0
2034,65,132,0
2035,69,134,0
2036,73,120,1
2037,54,125,0
2038,62,123,1
2039,66,129,0
2040,71,130,1
2041,78,137,1
2042,79,138,0
2043,72,142,1
2044,78,143,0
2045,91,141,2
2046,87,146,2

min,,90,0
max,,190,6
steps,,11,7
decimal
