year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,182,229,315,162
1988,205,124,257,133
1989,46,234,330,42
1990,81,229,205,213
1991,89,373,433,224
1992,121,170,188,766
1993,62,187,181,301
1994,57,293,262,201
1995,178,249,306,151
1996,104,375,362,188
1997,61,232,286,194
1998,51,224,425,213
1999,104,337,263,174
2000,64,120,219,202
2001,92,154,246,56
2002,56,152,200,190
2003,48,211,179,154
2004,146,276,153,156
2005,85,226,412,123
2006,109,291,210,125
2007,162,125,359,132
2008,67,221,282,127
2009,172,273,242,157
2010,105,205,395,156
2011,48,262,259,120
2012,27,189,243,179
2013,295,166,214,193
2014,151,239,494,106
2015,70,239,301,177
2016,203,306,192,180
