year,annual-frozen-days
1987,60
1988,33
1989,45
1990,32
1991,51
1992,34
1993,37
1994,17
1995,37
1996,49
1997,35
1998,44
1999,23
2000,24
2001,39
2002,14
2003,41
2004,43
2005,52
2006,53
2007,29
2008,41
2009,43
2010,64
2011,23
2012,31
2013,32
2014,10
2015,24
2016,25
