year,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
1987,680,585,-98,-255,119,10.5,3860,29,17.7,50
1988,758,544,21,-232,180,10.2,3778,14,16.9,49
1989,800,555,46,-321,253,10.3,3789,10,15.5,44
1990,743,580,-44,-306,98,11.4,4194,21,16.7,32
1991,760,672,-176,-335,75,11.0,4028,33,17.6,31
1992,844,538,96,-197,167,10.3,3762,18,16.6,44
1993,699,736,-331,-439,64,11.3,4166,30,17.7,56
1994,674,735,-362,-475,-26,10.9,4009,36,17.2,36
1995,755,594,-42,-255,143,11.3,4127,44,17.7,45
1996,686,689,-309,-392,78,10.7,3905,22,16.8,48
1997,673,679,-308,-473,77,11.2,4103,26,17.3,28
1998,683,549,-80,-264,120,11.2,4101,17,16.6,32
1999,662,699,-370,-416,64,10.8,3947,14,16.3,40
2000,926,639,15,-269,132,10.7,3916,21,17.2,48
2001,744,601,-66,-268,79,11.0,4026,33,17.7,34
2002,725,587,-79,-326,112,11.5,4217,24,17.0,37
2003,621,566,-145,-263,58,10.7,3915,10,15.9,20
2004,664,584,-133,-309,82,10.8,3969,19,17.3,41
2005,625,538,-98,-278,65,10.2,3750,14,16.3,34
2006,792,554,39,-235,155,10.9,3997,26,17.2,39
2007,779,575,16,-302,217,10.7,3909,18,16.7,38
2008,822,544,84,-175,82,10.2,3737,16,16.8,40
2009,712,576,-57,-290,105,10.0,3662,19,16.4,54
2010,770,586,-27,-269,135,11.1,4106,27,17.2,38
2011,722,603,-81,-329,181,10.5,3837,24,16.5,40
2012,694,558,-63,-227,72,10.6,3897,27,17.5,28
2013,818,578,35,-160,135,11.2,4103,30,18.6,34
2014,846,548,100,-156,115,10.7,3954,21,17.0,51
2015,807,609,-1,-221,62,10.9,3986,36,17.9,46
2016,834,592,50,-201,81,10.4,3817,20,17.1,44
2016
2017,628,638,-214,-384,68,11.9,4343,49,19.0,35
2018,698,624,-130,-414,178,11.1,4068,50,17.3,40
2019,592,624,-243,-412,77,12.1,4421,62,19.1,21
2020,597,637,-250,-355,52,11.8,4341,35,17.9,25
2021,737,712,-264,-420,131,11.6,4225,47,18.5,35
2022,749,543,5,-268,219,11.5,4193,27,18.2,24
2023,696,738,-364,-466,70,11.8,4300,52,19.0,27
2024,630,738,-373,-532,82,11.5,4201,32,18.1,37
2025,722,583,-69,-256,139,11.2,4096,38,18.3,30
2026,579,733,-452,-428,6,12.0,4376,47,18.5,28
2027,578,752,-464,-541,4,12.5,4568,62,18.8,24
2028,738,595,-56,-282,140,11.2,4128,29,17.7,30
2029,746,717,-304,-317,18,11.5,4204,36,17.7,39
2030,708,697,-278,-428,61,11.9,4353,26,17.9,28
2031,590,582,-188,-275,28,11.8,4315,40,18.7,24
2032,518,583,-275,-390,80,12.0,4403,25,17.7,17
2033,756,603,-42,-328,150,11.9,4354,27,18.4,22
2034,633,652,-236,-418,129,11.9,4344,51,18.3,20
2035,706,591,-91,-388,166,11.4,4166,31,17.9,32
2036,607,596,-198,-374,152,11.5,4225,34,17.3,19
2037,642,614,-174,-389,172,11.3,4134,36,17.8,26
2038,649,614,-170,-388,163,12.3,4505,42,19.1,17
2039,503,636,-324,-509,73,11.3,4126,57,19.3,47
2040,720,605,-98,-330,135,12.2,4462,37,18.6,15
2041,847,624,17,-325,156,12.3,4506,54,19.2,20
2042,639,614,-179,-406,79,12.1,4409,30,17.6,13
2043,637,595,-154,-312,38,11.6,4268,41,18.7,30
2044,575,637,-275,-472,30,12.0,4403,44,19.2,37
2045,582,609,-233,-435,96,12.0,4412,51,19.3,28
2046,575,613,-250,-408,102,12.1,4431,49,19.4,16
