year,annual-estival-days
1987,30
1988,20
1989,64
1990,53
1991,39
1992,30
1993,14
1994,42
1995,48
1996,37
1997,44
1998,27
1999,43
2000,31
2001,36
2002,20
2003,71
2004,36
2005,45
2006,49
2007,13
2008,21
2009,31
2010,39
2011,28
2012,22
2013,39
2014,25
2015,38
2016,37
