year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,124,182,145,283
1988,341,186,165,123
1989,173,142,65,206
1990,186,115,65,177
1991,160,106,81,165
1992,57,141,98,180
1993,56,264,181,183
1994,234,168,223,250
1995,293,103,203,115
1996,156,99,74,195
1997,129,245,92,192
1998,142,197,146,255
1999,172,228,222,334
2000,124,196,193,418
2001,357,191,219,158
2002,192,146,204,436
2003,138,168,122,282
2004,208,143,164,192
2005,90,136,92,230
2006,184,95,209,274
2007,216,182,235,139
2008,243,242,149,172
2009,161,230,66,265
2010,207,114,107,239
2011,125,75,244,169
2012,74,253,155,314
2013,247,156,134,248
2014,257,174,204,248
2015,212,138,273,140
2016,295,217,83,132
